attribute,group,TPR,FPR,PPV,NPV,Accuracy,TP,TN,FP,FN,count
gender_norm,F,0.938095238,0.025210084,0.977667494,0.930481283,0.954954955,394,348,9,26,777
gender_norm,M,0.939130435,0.033333333,0.972972973,0.925531915,0.951219512,108,87,3,7,205
glasses_norm,no,0.938502674,0.016611296,0.985955056,0.927899687,0.958518519,351,296,5,23,675
glasses_norm,yes,0.937888199,0.047945205,0.955696203,0.932885906,0.944625407,151,139,7,10,307
skin_group,I,0.934782609,0.037037037,0.966292135,0.928571429,0.947976879,86,78,3,6,173
skin_group,II,0.949152542,0.016666667,0.98245614,0.951612903,0.966386555,56,59,1,3,119
skin_group,III,0.928143713,0.023255814,0.981012658,0.913043478,0.949324324,155,126,3,12,296
skin_group,IV,0.963963964,0.037974684,0.972727273,0.95,0.963157895,107,76,3,4,190
skin_group,V,0.922222222,0.023255814,0.976470588,0.923076923,0.948863636,83,84,2,7,176
skin_group,VI,0.9375,0,1,0.923076923,0.964285714,15,12,0,1,28
