file_name,label_id,gender_norm,skin_group,glasses_norm,id_norm
high (1).jpg,1,F,V,no,high (1494)
high (1000).jpg,0,F,II,no,low (2397)
high (1001).JPG,0,F,I,no,low (1344)
high (1002).jpg,1,F,IV,yes,high (151)
high (1004).jpg,1,F,IV,no,high (3315)
high (1006).JPG,1,F,VI,yes,high (2424)
high (1008).jpg,0,M,III,yes,low (1184)
high (1009).JPG,0,M,III,yes,low (1176)
high (1011).jpg,1,M,V,no,high (3143)
high (1012).jpg,1,M,V,no,high (3525)
high (1013).jpg,0,F,II,no,low (2156)
high (1014).JPG,0,F,III,no,low (2757)
high (1015).jpg,1,F,III,yes,high (2701)
high (1016).jpg,1,F,III,no,high (3257)
high (1017).JPG,1,F,V,no,high (1654)
high (1019).jpg,1,F,II,yes,high (498)
high (1020).jpg,1,M,V,no,high (1235)
high (1022).JPG,1,M,V,no,high (1658)
high (1023).jpg,1,F,III,no,high (1737)
high (1025).jpg,1,F,I,yes,high (465)
high (1026).jpg,0,M,V,no,low (590)
high (1028).jpg,1,F,V,yes,high (3473)
high (1029).jpg,1,F,I,no,high (2944)
high (103).jpg,0,F,I,no,low (257)
high (1030).JPG,1,F,III,no,high (904)
high (1031).jpg,1,F,I,yes,high (698)
high (1034).jpg,1,F,III,no,high (2907)
high (1036).jpg,0,F,V,yes,low (2720)
high (1037).jpg,0,F,III,no,low (711)
high (1038).JPG,1,F,III,yes,high (2749)
high (1039).jpg,1,F,II,no,high (3237)
high (104).jpg,1,F,V,no,high (2493)
high (1041).JPG,1,F,III,no,high (1977)
high (1042).jpg,1,F,I,yes,high (2678)
high (1045).jpg,0,F,V,no,low (563)
high (1046).jpg,0,F,II,no,low (163)
high (1047).jpg,0,F,III,no,low (109)
high (1048).jpg,0,M,III,no,low (2118)
high (1049).JPG,0,F,II,no,low (1510)
high (1050).jpg,1,F,I,yes,high (2659)
high (1051).jpg,1,F,V,no,high (1661)
high (1053).jpg,0,F,I,yes,low (2544)
high (1054).jpg,1,F,III,yes,high (1108)
high (1055).jpg,1,F,V,yes,high (142)
high (1056).jpg,1,M,V,no,high (3514)
high (1057).JPG,1,F,IV,yes,high (858)
high (1058).jpg,1,F,II,no,high (1024)
high (1059).jpg,1,F,II,no,high (1881)
high (106).jpg,1,F,III,yes,high (529)
high (1060).jpg,0,F,I,no,low (2371)
high (1062).JPG,1,F,IV,no,high (1805)
high (1063).jpg,0,M,I,no,low (1293)
high (1064).jpg,0,F,III,no,low (1378)
high (1065).jpg,0,F,IV,no,low (1799)
high (1066).jpg,0,F,IV,no,low (987)
high (1067).jpg,1,M,IV,yes,high (283)
high (1068).jpg,1,F,VI,no,high (2487)
high (1069).jpg,1,F,II,no,high (2959)
high (1071).jpg,1,F,IV,yes,high (567)
high (1072).jpg,0,F,II,no,low (1562)
high (1075).jpg,1,F,II,no,high (3044)
high (1077).jpg,1,F,II,no,high (2862)
high (1078).jpg,1,F,VI,no,high (2475)
high (1079).jpg,0,M,III,yes,low (1073)
high (108).jpg,0,F,IV,no,low (406)
high (1080).jpg,0,F,I,no,low (1020)
high (1081).jpg,1,M,III,no,high (2220)
high (1082).jpg,0,F,IV,no,low (372)
high (1083).jpg,0,F,IV,yes,low (216)
high (1084).jpg,1,F,III,yes,high (1102)
high (1086).jpg,1,F,IV,no,high (2889)
high (1087).jpg,1,F,I,yes,high (95)
high (1088).jpg,1,F,IV,no,high (1716)
high (1091).jpg,0,F,III,no,low (171)
high (1092).jpg,0,F,III,yes,low (2910)
high (1094).jpg,1,F,II,no,high (2937)
high (1095).jpg,1,M,IV,yes,high (239)
high (1097).jpg,1,F,V,no,high (2451)
high (11).jpg,0,F,IV,yes,low (749)
high (1100).jpg,1,F,IV,yes,high (610)
high (1101).jpg,1,F,II,yes,high (486)
high (1102).jpg,0,F,I,no,low (424)
high (1105).jpg,1,M,V,no,high (1419)
high (1106).jpg,0,M,III,no,low (114)
high (1107).jpg,1,M,IV,no,high (1869)
high (1109).jpg,1,F,VI,no,high (2129)
high (111).jpg,0,M,IV,no,low (511)
high (1110).jpg,0,F,III,no,low (1750)
high (1111).jpg,1,F,V,no,high (1331)
high (1114).jpg,1,F,III,no,high (2154)
high (1117).jpg,0,F,III,no,low (1770)
high (1119).jpg,1,F,III,yes,high (51)
high (112).jpg,0,M,III,no,low (1350)
high (1120).jpg,1,F,III,no,high (1874)
high (1121).jpg,1,F,III,yes,high (96)
high (1122).jpg,1,F,VI,yes,high (2783)
high (1123).jpg,0,F,I,yes,low (225)
high (1124).jpg,1,F,II,no,high (2986)
high (1125).jpg,0,F,I,yes,low (2557)
high (1126).jpg,1,F,II,yes,high (30)
high (1127).jpg,1,F,III,yes,high (526)
high (1128).jpg,1,M,V,no,high (3155)
high (1129).jpg,1,F,III,no,high (3262)
